original_id,wiki_id,wiki_name,match_score
266,Q983721,William J. Casey,0.5
267,Q477169,Frank Church,0.5
269,Q75866,Rudolf Hess,0.5
270,Q401574,Ahmed Zaki Yamani,0.5
271,Q6111002,Jack Anderson,0.5
272,Q323488,Roy Jenkins,0.5
274,Q5379639,Enrique Beltrán,0.5
276,Q156806,Konstantinos Karamanlis,0.5
277,Q17410,Zhou Enlai,0.5
279,Q312845,Daniel Inouye,0.5
280,Q356678,Alfonso López Michelsen,0.5
281,Q518779,Leo Ryan,0.5
284,Q885391,John C. West,0.5
282,Q5120676,James William Edmund Doyle,0.5
283,Q368,Augusto Pinochet,0.5
285,Q12957,Raymond Barre,0.5
287,Q11237,Nelson Rockefeller,0.5
288,Q5544206,George S. Vest,0.5
289,Q6891914,Mohammad Daoud,0.5
291,Q713505,Daniel Patrick Moynihan,0.5
292,Q968268,Thomas R. Pickering,0.5
293,Q184650,Donald Rumsfeld,0.5
294,Q16859271,Richard Cooper,0.5
295,Q16977,Deng Xiaoping,1.0
296,Q719808,Elliot Richardson,0.5
297,Q273051,Jonas Savimbi,0.5
298,Q63740,Peter Lorenz,0.5
300,Q393447,Agha Shahi,0.5
301,Q155649,Richard Holbrooke,0.5
303,Q171989,James R. Schlesinger,0.5
302,Q6773601,Marshall Green,0.5
304,Q15002,Leo Tindemans,0.5
306,Q34105,Hosni Mubarak,0.5
309,Q57449,Ian Khama,0.5
311,Q59693307,,0.5
312,Q571094,Jean Sauvagnargues,0.5
313,Q765165,Leonid Brezhnev,0.5
314,Q515657,Siaka Stevens,0.5
315,Q2641609,Long Boret,1.0
316,Q2166580,Seewoosagur Ramgoolam,0.5
317,Q351710,Kalevi Sorsa,0.5
321,Q1506554,Leonard Woodcock,0.5
320,Q34211,Yasser Arafat,0.5
319,Q1366620,James Abourezk,0.5
322,Q317648,Glafcos Clerides,0.5
323,Q8619,Pierre Trudeau,0.5
324,Q9582,Gerald Ford,0.5
325,Q552951,Sol Linowitz,0.5
330,Q16008123,Robert O. Waring,0.5
333,Q518779,Leo Ryan,0.5
334,Q386798,Clark Clifford,0.5
338,Q6144323,James Tocco,0.5
337,Q503850,Kamal Jumblatt,0.5
336,Q1875906,Jacob Koppel Javits,0.5
339,Q192512,Mengistu Haile Mariam,1.0
340,Q2578451,William Denman Eberle,0.5
343,Q372039,Prabhat Ranjan Sarkar,0.5
344,Q53407,Taylor Dent,0.11111111111111
345,Q1889152,Mike Mansfield,0.5
346,Q351481,Dewey F. Bartlett,0.5
347,Q217167,Faisal of Saudi Arabia,0.33333333333333
348,Q179858,Urho Kekkonen,0.5
349,Q164535,Mobutu Sese Seko,0.5
351,Q212286,P. W. Botha,0.5
352,Q5660906,Harold H. Saunders,0.5
353,Q358051,Pham Van Dong,1.0
354,Q11256,Fidel Castro,0.5
356,Q4977822,Bruce Laingen,0.5
355,Q60114,António Ramalho Eanes,0.5
357,Q7336146,Kim Dong-Jo,1.0
359,Q3430628,Richard C. Starr,0.5
360,Q2368858,Huib Luns,0.5
361,Q28517,Todor Zhivkov,0.5
363,Q105480,Kenneth Kaunda,0.5
364,Q315953,Didier Ratsiraka,0.5
365,Q880776,William Scranton,0.5
362,Q7145705,Patricia M. Derian,0.5
366,Q357718,Brock Adams,0.5
367,Q28124038,Eileen Mumy,0.5
368,Q1794153,John Patterson,0.5
369,Q128956,Harold Wilson,0.5
371,Q128245,Mohammad Reza Pahlavi,0.5
370,Q20557346,Aaron David Gleason,0.5
373,Q699768,Ella Chen,0.5
374,Q1316,Saddam Hussein,0.5
375,Q5895726,Hong Yi,0.5
376,Q45441481,Shu Yu,0.5
377,Q1263771,Dudley Thompson,0.5
378,Q172083,Omar Bongo,0.5
379,Q214367,Adolfo Suárez,0.5
381,Q2915786,Ensio Siilasvuo,0.5
380,Q1030299,Earl Butz,0.5
383,Q6163723,Jason Weir-Smith,0.5
384,Q312881,Anker Jørgensen,0.5
386,Q7329720,Richard W. Murphy,0.5
387,Q5544206,George S. Vest,0.5
394,Q6614872,William H. Sullivan,0.5
392,Q946305,Sam Nunn,0.5
393,Q10805021,潘顯道,0.5
388,Q318298,Rodrigo Carazo Odio,0.5
391,Q153509,Makarios III,0.33333333333333
389,Q6289775,Joshua Eilberg,0.5
390,Q6786818,Mathea Falco,0.5
395,Q5883014,Gonzalo Facio Segreda,0.5
396,Q66107,Henry Kissinger,0.5
397,Q365395,Michael Manley,0.5
398,Q1347757,György Sándor,0.5
399,Q162708,Jean-Bedel Bokassa,0.5
402,Q63831,Hafizullah Amin,0.5
403,Q1350863,Knut Frydenlund,0.5
404,Q2557585,Saad Haddad,0.5
405,Q27088013,Khalid King,0.33333333333333
406,Q1353745,Nguza Karl-I-Bond,1.0
408,Q233289,Atal Bihari Vajpayee,0.5
407,Q5555893,Ray Anderson,0.5
409,Q269039,Hugo Banzer,0.5
410,Q1288802,Miloš Minić,0.5
411,Q7943196,Zygmunt Najdowski,0.5
412,Q1642894,Hedi Amara Nouira,0.5
413,Q1338879,Eric Williams,0.5
414,Q155385,Gnassingbé Eyadéma,0.5
415,Q166272,Geoffrey Rush,0.2
418,Q2571,Walter Scheel,0.5
424,Q9282777,Gus Yatron,0.5
422,Q6133671,James F. Leonard,0.5
427,Q671393,David D. Newsom,0.5
428,Q241614,Rachel Smith,0.5
426,Q319867,Edmund Muskie,0.5
430,Q8010493,William H. Luers,0.5
432,Q57308,Abdelaziz Bouteflika,0.5
