id,name,frequency
278,"GILETTA, NORBERTO A",260
279,"INOUYE, DANIEL K",256
280,"LOPEZ MICHELSEN, ALFONSO",256
281,"RYAN, LEO",256
284,"WEST, JOHN C",255
282,"DOYLE, WILLIAM E",255
283,"PINOCHET UGARTE, AUGUSTO",255
286,"CARLSEN, JULIE ANN",254
285,"BARRE, RAYMOND",254
287,"ROCKEFELLER, NELSON",253
288,"VEST, GEORGE S",253
289,"DAOUD, MOHAMMAD",252
290,"WEISSNER, STEVEN",252
291,"MOYNIHAN, DANIEL P",251
292,"PICKERING, THOMAS R",249
293,"RUMSFELD, DONALD",249
294,"COOPER, RICHARD",247
295,DENG XIAOPING,246
296,"RICHARDSON, ELLIOT",246
297,"SAVIMBI, JONAS",245
298,"LORENZ, PETER",244
299,"SEELYE, TALCOTT W",244
300,"SHAHI, AGHA",243
301,"HOLBROOKE, RICHARD C",242
303,"SCHLESINGER, JAMES",241
302,"GREEN, MARSHALL",241
304,"TINDEMANS, LEO",237
305,"GOSSON, ELISABETH",235
306,"MUBARAK, MUHAMMAD HUSNI",235
307,"SKLAR, RITA J",234
308,"CHAITOUKHOV, ANATOLI",233
309,"KHAMA, SERETSE M",233
310,"NIMEIRI, GAAFER MYHAMMED",233
311,"JACKSON, WILLIAM H",232
312,"SAUVAGNARGUES, JEAN",231
313,"BREZHNEV, LEONID",229
314,"STEVENS, SIAKA P",229
315,LONG BORET,227
316,"RAMGOOLAM, SEEWOOSAGUR",227
317,"SORSA, KALEVI",227
318,"TOTZ, MYRA L",227
321,"WOODCOCK, LEONARD",226
320,"ARAFAT, YASIR",226
319,"ABOUREZK, JAMES",226
322,"CLERIDES, GLAFCOS",225
323,"TRUDEAU, PIERRE-ELLIOTT",225
324,"FORD, GERALD",224
325,"LINOWITZ, SOL M",224
326,"BOUFAISSAL, JOE",223
327,"MASLOUF, SALWA BOUFAISSAL",223
328,"BURNHAM, L F S",222
329,"SHCHARANSKIY, ANATOLIY",222
330,"WARING, ROBERT O",222
331,KHUKRIT PRAMOT,221
332,"BUTZ, EARL L",220
333,"RYAN, LEO J",220
334,"CLIFFORD, CLARK M",219
335,U KYI MAUNG,219
338,"TOCCO, JAMES",218
337,"JUMBLATT, KAMAL",218
336,"JAVITS, JACOB",218
339,MENGISTU HAILE MARIAM,217
340,"EBERLE, WILLIAM",216
341,"DE KAMARASY, IRENE",215
342,"FRASER, J MALCOLM",214
343,"SARKAR, P R",214
344,DENT,213
345,"MANSFIELD, MICHAEL J",213
346,"BARTLETT, DEWEY F",212
347,FAISAL,212
348,"KEKKONEN, URHO",211
349,"MOBUTU, SESE SEKO",211
350,"JONES, AUGUSTINE",210
351,"BOTHA, PIETER WILLEM",209
352,"SAUNDERS, HAROLD H",208
353,PHAM VAN DONG,207
354,"CASTRO, FIDEL",206
356,"LAINGEN, BRUCE",206
355,"EANES, ANTONIO DOS SANTOS RAMALHO",206
357,KIM DONG-JO,205
358,"MULDOON, ROBERT D",205
359,"STARR, RICHARD",205
360,LUNS,204
361,"ZHIVKOV, TODOR",204
363,"KAUNDA, KENNETH",203
364,"RATSIRAKA, DIDIER",203
365,"SCRANTON, WILLIAM",203
362,"DERIAN, PATRICIA M",203
366,"ADAMS, BROCK",202
367,"DAVIS, JOY",202
368,"PATTERSON, JOHN",202
369,"WILSON, HAROLD",202
371,"PAHLAVI, MOHAMMED REZA",201
372,"SPRAGUE, STEPHEN F",201
370,"AARON, DAVID",201
373,"HUA, TRAN-TRAN",200
374,"HUSSEIN, SADDAM",200
375,"SHU, LI-CHING",200
376,"SHU, YU-MING",200
377,"THOMPSON, DUDLEY",200
378,"BONGO, ALBERT BERNARD",199
379,"SUAREZ GONZALEZ, ADOLFO",199
381,"SIILASVUO, ENSIO",198
380,"BUTZ, EARL",198
382,"FLOYD, WILLIAM ALAN",197
383,"SMITH, JASON W",197
384,"JORGENSEN, ANKER",196
385,"MCCLELLAN, STAN L",196
386,"MURPHY, RICHARD W",195
387,"VEST, GEORGE",195
394,"SULLIVAN, WILLIAM H",194
392,"NUNN, SAM",194
393,PHAN HIEN,194
388,"CARAZO ODIO, RODRIGO",194
391,MAKARIOS,194
389,"EILBERG, JOSHUA",194
390,"FALCO, MATHEA",194
395,"FACIO SEGREDA, GONZALO",192
396,HENRY A KISSINGER,192
397,"MANLEY, MICHAEL",192
398,"SANDOR, GYORGY",192
399,"BOKASSA, JEAN BEDEL",191
400,"RONEY, MATTHEW",191
401,"ALVAREZ LEMUS, RAFAEL",190
402,"AMIN, HAFIZULLAH",190
403,"FRYDENLUND, KNUT",190
404,"HADDAD, SAAD",190
405,"KHALID, KING",190
406,NGUZA KARL-I-BOND,190
408,"VAJPAYEE, ATAL BIHARI",188
407,"RAY, ANDERSON J",188
409,"BANZER SUAREZ, HUGO",187
410,"MINIC, MILOS",187
411,"NAJDOWSKI, ZYGMUNT",187
412,"NOUIRA, HEDI",187
413,"WILLIAMS, ERIC",187
414,"EYADEMA, GNASSINGBE",186
415,RUSH,186
416,"MAYNES, CHARLES WILLIAM",185
417,"OREA, HECTOR",185
418,"SCHEEL, WALTER",185
419,"SUCRE POVEDA, RAFAEL JOSE",185
424,"YATRON, GUS",184
422,"LEONARD, JAMES F",184
